title,date,content
흑흐윽히끅익흑흐윽히끅익흑흐윽히끅익흑흐윽히끅익흑흐윽히끅익,2021-11-16 09:19:13,ㄷㅅㅈㅅㅈㅂㄴㄱㅅㄱㄴㄱ
흑흐윽히끅익흑흐윽히끅익흑흐윽히끅익흑흐윽히끅익흑흐윽히끅익,2021-11-16 09:19:06,ㄱㅈㄷㅂㆍㅅㄱㅁㄱㅎㄱ
클린한이헤갤에어서오세요 클린한이헤갤에어서오세요 클린한이헤갤에어서오세요,2021-11-16 09:18:07,ㅅㄴㅅᆢㅅㄱㅅㄱㅇㅅㄱㅈㄱㄴㄱ
클린한이헤갤에어서오세요 클린한이헤갤에어서오세요 클린한이헤갤에어서오세요,2021-11-16 09:17:54,ㅅㆍㅅㄴㄱ이싥ㅂ
클린한이헤갤에어서오세요 클린한이헤갤에어서오세요 클린한이헤갤에어서오세요,2021-11-16 09:17:42,ㄱㅊㄱ득ㄴㄱㅅㄱㅇㄱㅅㄱㄷㅈㅇㄴ
이어폰이랑 헤드폰 체감이 그렇게 큼??? [3],2021-11-16 09:17:20,"지금 wf-1000xm4쓰는데
wh-1000xm4사면 체감 오지냐??"
클린한이헤갤에어서오세요 클린한이헤갤에어서오세요 클린한이헤갤에어서오세요,2021-11-16 09:17:15,ㅇㅇ
요즘 흐드륙 신품 중나에 왤케 많냐 [6],2021-11-16 09:13:12,"구형 구한다고 키워드 알람 켜놨는데 최근 매물이 다 신형 미개봉들임

뭔가 있는거가틈"
아 잠만 나 ㅈ된거냐 [5],2021-11-16 09:05:51,NW-A55 귀칼에디숀 너무이뻐서 사버렸는데 생각해보니깐 일본꺼라 한국어 안되지않음? 언어변경있나.... 커펌해야하나?
지를거 ㄹㅇ 하나도 없음,2021-11-16 09:03:38,r70x도 20초반대에나 메리트있지 내가 살까 했을땐 이미 20중반이라서 안삼
오디오 잭 어댑터 usb -> 3.5 제품은 없을까? [10],2021-11-16 09:01:11,병신 의견 바로 거르기 가능
메모의 중요성 [5],2021-11-16 08:58:17,"아니 분명 가성비 좋아서 유명한데 코드모조 단독으로 45쳐올려받노.. 역시 단종이 불러오는 효과인가 플레뉴l도 그값못하던데
- dc official App"
모조가격 어디까지 올라감 [2],2021-11-16 08:52:24,"아니 분명 가성비 좋아서 유명한데 코드모조 단독으로 45쳐올려받노.. 역시 단종이 불러오는 효과인가 플레뉴l도 그값못하던데
- dc official App"
어제가 네이버멤버십데이였네 [9],2021-11-16 08:52:05,"이거 알림 못맞추나

계속 모르고 넘어가네 하루전날 알려주는거도 좀그래"
이헤갤 클린은 보닌이 앞장선다는 말만함,2021-11-16 08:51:36,박사님 덕분이란것만 기억하도록
타임리스 착용감 구림? [4],2021-11-16 08:49:15,아 그럼 나가린데
샨링 ua2 오늘 오겠지 [5],2021-11-16 08:48:23,"기대된다

써본 사람들 후기좀
- 수듄"
요새 그래도 이헤갤 올맛은 좀 나네 [3],2021-11-16 08:46:16,이어폰 헤드폰 관련얘기도 많고 후기 리뷰도 많이올라오는편이네 ㅇㅇ 언제한번 왔다가 념글 박살난거보고 개벙신갤이네 하고 나갔는데
알칠공 살바에 560사지 씹ㅋㅋ ㅇㄱㄹㅇ [1],2021-11-16 08:43:01,동급인데 알칠공은 앰프에만 알칠공값 박아야되고 560은 꼬다리면 된다캄 ㅇㄱㄹㅇ
사운드바에 헤드폰 끼워도 소리 제대로나냐 [12],2021-11-16 08:39:30,코덱앰프없음
알리 득삼플 언제보내노 [3],2021-11-16 08:39:24,6일9시간까지 안보내면 취소된다는데 그안에보내겟지?
17장에 소니 DAP 업어왔당 [22],2021-11-16 08:35:51,"요즘 가벼운 DAP이 하나 필요해서

장터에서 엔트리급을 하나 노리고 있었음

근데 어제 플레뉴 D3랑 소니 NW-A105가 거의 동시에 올라오대

플레뉴는 별로 관심 없었고

A105가 구성이랑 상태가 너무 좋더라구
(풀박, 투명케이스, 지문방지 액정보호필름)

약간 판매자분이 소장하려고 했던 걸 내놓으신 느낌 ? ?

색도 흔치 않은 레드여서 마음에 드는 듯
(사실 블루 색상을 더 좋아했을 것 같기는 함)

늦은 시간이었지만 다른 사람한테 넘어갈까봐 바로 문자 날림 ㅎㅎ

오늘 우체국택배로 보내주신다니까

내일 도착할 듯 ! !


소리보다 배터리 조루가 더 유명하던데
(소리 후기보다 배터리 조루인 후기가 더 많음 ㅋㅋㅋ)

얼마나 조루인지 직접 테스트 해봐야징"
아 이해갤 존나 재밌는거같음 [10],2021-11-16 08:33:38,"애들이 일단 너무 착하고 순수해
딱 트롤하기 좋은갤임
그 조현병 도배충 심리가 이해가 살짝 간다"
알칠공,2021-11-16 08:29:34,알보칠
굿모닝 ㅇㅇ [2],2021-11-16 08:26:40,알보칠
HD600 살 바에 hd6xx에 hd58x 삼 [3],2021-11-16 08:21:55,ㅇㄱㄹㅇ
Dreams~ are my reality~,2021-11-16 08:07:47,ㅅㅂㅋㅋ 흐드륙 400달러 좃까고있네 그 돈이면 저거 두개 정가로 사지
클리어 mg 하고 t1 2세대 비교좀 [6],2021-11-16 08:05:23,헤드폰끼고 맨날 하는짓 라붐 따라하기
