title,date,content
지듣노,2021-11-07 18:23:31,"https://www.youtube.com/watch?v=E9xitPlocVk
커여운 노래 들을래 커여운 노래
- dc official App"
알리익스프레스에서 파는 무선이어폰 추첨좀요 [1],2021-11-07 18:22:23,좋은걸루요
짱깨 광고 그만좀,2021-11-07 18:21:37,"애미 스폰이 앤커 사장이야?

그만좀해"
바쿤유저야 배달맛나는거 뭐없냐 [3],2021-11-07 18:21:06,ㅇㅇ
ps4 최근꺼 팔사람 있냐,2021-11-07 18:20:48,"  매물 보니까 머리아프네




패드 두개 있으면 좋고
- dc official App"
wh 1000xm4 시스템 사운드 조절법 아는사람있음? [1],2021-11-07 18:18:01,"전원 켜지거나 소리 조절하거나 할때 뭐라뭐라하면서 소리내는데 그거 너무 시끄러워서 줄이고싶음
방법 아는사람 있음?"
10만원 근처 미니 dap 추천좀 [1],2021-11-07 18:16:48,"아이폰에 물려서 외장 dac
겸용 되는것중에 뭐가 괜찮냐"
14.40 qkqh [1],2021-11-07 18:16:18,qkqh
청음샵에서 [3],2021-11-07 18:16:17,"아이패드 프로 12인치 갖고 원신 하고 있으면

여성 md 분들이 먼저 말도 걸어주고 관심도

가져주지 않을까??"
타이달 나만 안되냐 [13],2021-11-07 18:16:10,아
수월우 바리에이션 살라카는데 써 본 사람들 조언좀 [2],2021-11-07 18:11:18,"씹덕이라 수월우 좋아함

이어폰이 절대 헤드폰 이길 수 없다하는걸 워낙 예전부터 들어와가지고

그냥 SRH1540 사서 종결보려고 했는데

나름 만족하면서 1년 넘게 쓰고있긴 해도 이어폰 특유의 그 느낌이 안 나서 그냥 이어폰도 하나 마련하려고 함

1. 주관적으로 바리에이션 소리 괜찮았음?

2. 이압 어떰?"
유선이어폰 추천좀 [2],2021-11-07 18:11:02,"유선이어폰 처음사보는데 뭐사야함?
소니같은 유명 기업이면 좋겠는데
적당히 가격대 있는걸로
- dc official App"
"""야, 멍둥어.""",2021-11-07 18:10:55,D-11
유선이어폰추천좀 [2],2021-11-07 18:08:55,"10까지
- dc official App"
원래 프로그램마다 소리가 다르나요? [1],2021-11-07 18:08:36,"로캣의 무선 헤드폰인 ELO AIR 사용중이고 EQ는 위처럼 해놓았읍니다
게임을 할때는 그냥 저음이 좀 강하다~ 정도의 느낌인데
게임을 녹화해서 영상으로 볼때는 말도안되게 저음이 쌔고 베이스가 장난아니게 울리더라구요
원래 프로그램마다 소리가 달리 들리는게 정상인가요?
사용하는 코덱이 달라서 그런가"
알리는 판매가/ 쿠폰/ 프로모션코드/ 카드할인으로 나뉨 [8],2021-11-07 18:08:01,"세일기간되면 일단 할인가격으로 떨어지고

쿠폰있으면 쿠폰이 코드입력 이전단계에서 적용됨

그다음 프로모션코드 입력하고

카드정보 입력하면 카드할인까지 먹힘"
꿀매 볼때마다 웃기네 ㅋㅋ [2],2021-11-07 18:04:01,"앨범 볼 때마다 웃음이 나옴
- dc official App"
스터디카페에서 쓸만한 헤드폰이나 이어폰 구하려는데 얘네들 괜찮음?,2021-11-07 18:03:50,"이어폰이든 헤드폰이든 둘다 사놓으면 음악감상할때도 쓰긴하니까 좀 비싼거 구하려고함

음질도 중요한데 가장 중요한건 장시간 사용했을때 이압이라던가 착용감이 좋아야하는데

최근에 ier m7쓰다가 팔았는데 착용감 디게 마음에 들었음

헤드폰으로는 소니 z7m2

이어폰으로는 monarch가 평좋길래 monarch 마크2 구해보려고하는데

착용감은 어떰?"
알리익스프레스 잘아는사람 도와주세요ㅜ [19],2021-11-07 18:03:13,"오늘 광군절 시간 한정 쿠폰 겨우 받았는데,
여기서 또 추가 할인 받으려면 뭐 해야되나요???

뉴 하나 사려고하는데.. 도움 부탁드립니당."
아 ㅋㅋㅋㅋ 세스하고 싶다 [3],2021-11-07 18:02:21,"얼굴에 땀이 많이 나서 그런지 찝찝해서 세수하고 싶다
얼른 집 가서 세수부터 해야지"
mmcx쓰는애들아 글루건으로 연결부위 왜 안붙이냐 [10],2021-11-07 18:02:09,고정되서 접불도 안나고 나중에 깔끔하게 떨어진다 왜 안붙이냐 개꿀인데
아니 오늘 왜 일요일임? [5],2021-11-07 18:00:17,"내일 출근해야되네 ㅅㅂ
- dc official App"
성욕을 딸딸이로 해소 못하는 한남새끼들ㅋㅋ [1],2021-11-07 17:59:19,"괜히 한남이 한녀한테 꼼짝못하고 코꿰이고 사는게 아니지 ㅋㅋㅋ
1000명한테 개통당한 보지도 좋다고 줄을 서는 한남새끼들보면
왜 현재 여권이 한남새끼들을 압도하는지 답이 나옴
죽어도 보지를 거부한다는 소린안하고 국제결혼을 하느니 창년을 만난다느니 개소릴 하는지 눈에 보이지"
니들 아리아 커케 뭐씀?? [2],2021-11-07 17:59:03,"???
- dc official App"
박사님 드라이버말고 이어폰 내구성이랑 다른것도 좀...,2021-11-07 17:58:50,제발...
나도 슬슬 폰바꿀때 됐는데 [5],2021-11-07 17:58:45,"V50 쓴지 어언 2년 반을 향해 달려가고 있슴

안드업뎃하고나서 뭐만하면 픽 꺼지고 멈추고 프리징나고 해서

이제 놔줄때가 됐나 싶은데 요즘 폰값 왤캐 비싼것임;"
잘지내시죠 ㅋㅋ,2021-11-07 17:57:22,"진짜 인사하러 왔어요 헤헤헤
- 음악은 계속된다."
순다라 커케 4.4 뭐가 갑이냐 [2],2021-11-07 17:56:46,"케이블 참 좆같이도 만들었노
- dc official App"
헤드폰 블루투스 동글이로 컴터 연결하면,2021-11-07 17:56:28,음질 안좋거나 싱크 안맞을수도 있음?
디렘프로ㅋㅋ 하우징 내부 마감 볼때마다 새롭네 [4],2021-11-07 17:53:38,"   하우징 내부 드라이버랑 면 접착된거 보이는거는 둘째 치고 기포 모여있는곳 또 발견ㅋㅋ

   볼 때 마다 새로운 이어폰 ㅇㄱㄹㅇ
- dc official App"
잘지내시죠ㅋㅋ,2021-11-07 17:53:21,- dc official App
300g대에서 음질 갑 뭐냐 [6],2021-11-07 17:49:41,"가격은 제외하고 300g대에서 최고 음질 뭐임? hd800s?
- dc official App"
rca 케이블 빨리 오라고!!!! [6],2021-11-07 17:48:30,"망할 합배송때매 10일전에 시킨거 이제 출고함;;;;

좆쥐폰에 라인입력밖에 쓸 곳이 없엉.."
생명에게 미움을 받고있어,2021-11-07 17:47:02,
데탑 마이크 추천좀 [6],2021-11-07 17:42:17,가격대비 음질 ㄱㅊ은거로
q35랑 xh1000xm4 중에 머살까,2021-11-07 17:41:38,"막귀 일반인인데
둘이 차이 많이 느껴질까?
- dc official App"
설마 섹스 안해본 사람이 있냐???,2021-11-07 17:41:37,;;
집가서 깸하고싶다 [1],2021-11-07 17:40:38,가재장군키워야된단말임
E4000쓰다가 버즈2껴보니까 [1],2021-11-07 17:35:03,뭔 깡통소리들리더라
뉴에이지 피아노 560S vs 660S [1],2021-11-07 17:34:44,뉴에이지 피아노 들을건데 추천좀 해주세요
j pop은 노래 실력 기대하고 듣는거아님 [5],2021-11-07 17:33:15,"가사나 멜로디라인, 감성 이런거에 초점을 둬야지
- dc official App"
무선이어폰 추천좀 [9],2021-11-07 17:26:39,"원래 xm4 26만원인가 살라했는데

15~20짜리 이어폰들중에 추천할만한거 있음?

그리고 그게 xm4랑 많이 차이나?

한동안 이어폰없이 살다가 귓구멍 허전해서 ㅋㅋ

참고로 나 아이폰 씀"
psb imagine xb 음감중 [1],2021-11-07 17:24:40,AliA쨩 노래 너무 편안해!
isine20 살바에야 lcdi3 사는게 훨 나음,2021-11-07 17:24:41,아이폰 기준 lcdi3가 씹압살함
너네도 중고이어폰 다른 커케꽂혀있으면 절대안사냐? [2],2021-11-07 17:22:48,중고판매글에 다른커케 꽂혀있으면 이거저거 꼈다뺏다 해서 단자 걸레짝됐을거 같아가지고 손이 안가더라 ㅋㅋ
불법지원금 대충 훑어봤는데 [16],2021-11-07 17:20:37,"계약만 잘하고 타이밍만 좋으면 소비자가 손해볼 게 없는 구조네....?
그럼 임마들 단통법은 왜 만든고냐.."
다음주에 다 배송올듯 [13],2021-11-07 17:19:21,"리뷰해드림

에코는 유닛 크기도 스파크에 비해서 작음
귀에 착용도 더 들어가서 잘될듯?

대충 뉴하나 정도 착용감 나올것으로 예상함
소리도 탠치짐 타깃의 소리 들릴듯"
