title,date,content
오늘 이어폰 사는날,2021-11-11 14:44:39,"vx pro x7 딱대~
- dc official App"
왜이렇게 앰프나 헤드폰 스펙명시가 직관적이지가 못함? [3],2021-11-11 14:44:33,"1.예를들면 헤드폰 스펙을 명시할때 옴을 적어놓잖아 
근데 왜 그걸 적을때 주파수별 평균옴이아니라 최저옴으로 적어놓는거임?
r70x를 예를들면 명시된 470옴은 1k 부근의 최저저항이고 저역 극저역으로 갈수록 1100~1200옴까지 치솟는데
이걸 그냥 스펙명시할때 470옴이라고 써놓으면 소비자가 앰프를 살때 충분하지 못한걸로 살 여지가 다분한거아님?

2.그리고 앰프같은 경우에 왜이렇게 출력에대한 스펙을 명시할때 왜이렇게 비직관적임?

시발 이게 뭔소린데 대체 300옴일때 250mw x 2 즉 500mw 의 전류를 공급한단말임?  그럼 470옴일때는 몇인건데 ㅅㅂ
뭘 대체 이렇게 복잡하게 해놓은거냐. 왜 간단하게 그냥 1~9단계로 정해진 규격을 만들어놓고 이건 8단계까지 지원가능합니다 이건 3단계까지 지원가능합니다
서로 약속하면 안되는거임? 소비자가 알기편하게? 뭔 시발 앰프하나 사는데 다까먹은 물리를 해야되는거냐

그리고 언밸 이랑 밸런스 차이는 또 뭔데 대체 ㅅㅂ
언밸이랑 밸런스랑 필요 전압 출력 지원 저항값이 달라????
진짜 지랄이다 시발 ..

그래서 내가 궁금한건 저 사진 스펙이면 r70x 1100옴 저항인부분도 완벽하게 출력 커버 가능하냐는거임 ㅇㅇ
제발 알려줘"
포기했다 [14],2021-11-11 14:44:28,"오든지 말든지 ㅆ발좆같네



- dc official App"
AD500X 9만원인데 살까 [2],2021-11-11 14:43:15,"이가격에 제대로된

오픈형 헤드폰 다른거없지?"
보지에 사람이 어떻게나오냐,2021-11-11 14:43:04,구라치지말자;
지듣재즈 [7],2021-11-11 14:40:00,"https://www.youtube.com/watch?v=7nqz6Zt2Gtc
오늘 컨디션 조아"
아냐 그려죠 [2],2021-11-11 14:38:42,아냐콘 안나오냔말임
오늘따라 김치가 왤캐땡기지,2021-11-11 14:37:52,흙수저라 집에 김치가 없다;
대출해서 마라탕사업하면 부자될수잇냐,2021-11-11 14:36:42,ㅇㅇ
애플뮤직 무손실지원에 음원많은거 ㅅㅌㅊ인데 [4],2021-11-11 14:36:31,"이놈의 검색기능이 좀 딸림
윾튶뮤직은 내좆대로 연관성있는 키워드만 쳐도
거진 대부분 해외곡조차도 이거맞냐하면서 뽑아주는데
애플 이놈은 제목 토씨 하나라도 틀리면
그게뭐에요 하면서 결과없어요 이러고있음
플레이리스트 뽑아주는거도 죠금 아쉽고.."
