title,date,content
와xm4는 진짜 훌륭하다 ㅋㅋㅋㅋㅋ [2],2021-11-19 21:52:19,"30 품귀일때 샀는데 오래쓰면 좀 뽕빠질만도 한데

영디비eq하니까 ㄹㅇ 존나 헤드폰느낌이네 

음향 유튜버중에 영디비가 제일 나은거같다 ㄹㅇ 이사람 eq가 월등함 다른거에비해서"
내 ka3 뭐냐? [6],2021-11-19 21:52:17,임마 왜 통관절차 좆까고 그냥 오냐 ㅋㅋㅋ
득삼플 노이즈 들리네 ㅋㅋㅋㅋ [8],2021-11-19 21:51:51,"역시 싼게 비지떡인가

이게 전원단자 때문에 전기 파지직하는 노이즈가

재생하면 30초마다 들리노 ㅋㅋ"
6xx는 지금 사면 얼마임? [5],2021-11-19 21:50:19,"역시 싼게 비지떡인가

이게 전원단자 때문에 전기 파지직하는 노이즈가

재생하면 30초마다 들리노 ㅋㅋ"
Dt770pro가 왜 hd660s보다... [8],2021-11-19 21:47:00,19로 중고가 칼같이 팔리네?
진공관 톡톡 치면 헤드폰에서 톡 친 소리 나네 시발 ㅋㅋ [1],2021-11-19 21:44:20,"소리가 입체적으로 들리냐..
- dc official App"
오늘 nc700 xm4써봤는데,2021-11-19 21:44:09,존나신기
침대파이 팁 없음? [7],2021-11-19 21:44:03,"xm4 착용감이 일단 씹 압승이다
내가 원래 이어폰 버즈2 쓰는데
nc700 써보니까 음질이 버즈2보다 좋은건 느껴지는데
솔직히 막 그렇게 압도적이진않은느낌
보스는 아예 후보군에서 제외했다
착용감이나 노캔은 xm4가 압승인 느낌이고
음질로 따지려면 슈어로 살거같아서"
여기 헤드셋 전문가 있노? [5],2021-11-19 21:43:37,난 누워서 들을때 하늘만 보고 듣는데 옆으로 누워서 듣는 팁 없음? 대가리 위에 헤드폰 얹고 대가리 옆으로 뉘이는 방법 없냐는 질문임
완벽해졌네 [4],2021-11-19 21:41:51,앱코 N550이랑 N995중에 성능은 995짜리가 더좋은거지? 좀 전문적으로 알고있는사람 있노?
이어폰들 비싼것들 QC 체크 하고 나와..? [8],2021-11-19 21:40:06,리모콘 사용이 가능해진 득삼플 ㅋㅋ
아 사이렌 내일 잘하면 오것다 [2],2021-11-19 21:39:44,아직도 보면 에티모틱 처럼 측정치 같이 넣어주는 곳은 별로 없는것 같아..
UA2 LTE랑 와이파이가 문제가 맞네 [6],2021-11-19 21:39:32,"ㅋㅋㅋㅋㅋ 딱대
- dc official App"
hd800 드라이버가 명품은 명품이였나봐 [2],2021-11-19 21:37:12,"일단 LTE사용시 곡넘길때마다 끊김+노이즈 발생, 잦은 빈도로 아예 0.5초정도 끊기고 와이파이는 빈도는 덜한데 한곡에 2회 이하 끊김이 있었음

이게 불량이 아니면 그냥 쓴다고 하고 PC에 꽂아놓고 불량 맞다고 하면 회수 보내는게 맞고...

꼬다리에 내가 너무 바란듯

처음 꼬다리 메이주꺼 써본뒤로 한번도 안써봐서 좀 많은 기대를 해버린것 같다"
수월우 s8은 왤캐 중고 매물이 없냐 [15],2021-11-19 21:35:42,"물론 중간에 중간에 링 끼워넣고 튜닝좀 수정해서 800s버전으로 된 게 있긴 하지만

자체 성능만으로 아직도 하이엔드 헤드폰의 성능 비교 대상에 끌려나오는 걸 보면 출시당시에 사람들이 얼마나 놀랐을까"
난 헤륙세 안써도 A281은 추천한다 [14],2021-11-19 21:35:01,"아무도 안산거냐... 아니면 산놈들이 다 만족해버려서 안파는거냐,..,"
디렘프로2중고 [2],2021-11-19 21:34:54,"아무도 안산거냐... 아니면 산놈들이 다 만족해버려서 안파는거냐,..,"
점마 카에데냐 [12],2021-11-19 21:34:07,"임마가 힘만좋은게아니라..

완전 쏘울가득한놈이 힘도있는거라캄

그냥 앰프가좋아..."
상태 s급 돌솥 팔아야겟다 [3],2021-11-19 21:33:27,얼마가적당함 사려고하는데
