title,date,content
sr60같은 음색 가진거 없냐 [2],2021-11-09 02:02:09,"어릴때 그라도sr60 쓰다가 고장나서 버렷는데
이거랑 음색 비슷한거 업냐
- dc official App"
소니 wf-1000xm4 충전케이스만 따로팜?? [3],2021-11-09 01:57:06,"아 엄마가 세탁기 돌리고 건조기까지 돌렸넼ㅋ
- dc official App"
오늘 하루종일 메제엘리트들은 소감 [9],2021-11-09 01:51:07,"집에와서 SR1A 들어보니 이게 음악이지 싶음....


애초에 음악성 원툴에 해상도좀 올라간다고 서스바라/SR1A에 비빌수가 없다 

분명 EQ없이 들을수 있는 몇안되는 좋은 헤드폰인데.... 오리지날 가지고있거나 싸게 구할수 있으면 굳이 안사도 될듯"
헤드폰은 잠깐 들어도 음질 다 기억하는데 [6],2021-11-09 01:50:26,"이어폰은 들었던것도 기억이 안나
종류가 넘 많고 고만고만해서 그런가ㅜ"
사정 조절당하는 느낌임 [2],2021-11-09 01:47:42,"간만에 큰 맘 먹고 꽤 비싼 이어폰 하나 질렀는데

물량 없어서 오래걸리면 2주까지 걸린다캄

하루라도 빨리 듣고 싶었는데"
수구가 떽성능 좋은가보네 [2],2021-11-09 01:42:56,
nan6은 머냐 [2],2021-11-09 01:40:00,좋냐
3.5 to 6.3 접불 머지 [1],2021-11-09 01:37:01,열받네;;
이헤갤 떠난다 [3],2021-11-09 01:34:53,클레어로 만족하고 자기계발하러간다
퍼오디오 m4 사면 후회하겠지? [7],2021-11-09 01:33:46,"사놓고 음 좋네 하다가 한시간 연속으로 듣다 귀 좀 아프기 시작해서
다음에는 10분만에 귀아파서 나중엔 고음 쏜다고 피하다 한달에 한번 소리 궁금해서 들어보는 정도만 되겠지?"
이어팟이 오픈형 이어폰 종결이라는 사람들은,2021-11-09 01:32:27,종결이라는 단어 뜻을 모르는거임? ㅋㅋ
아직까지 잠못들었음 [4],2021-11-09 01:30:57,미쳤다
애플뮤직 이게 무손실이야? [15],2021-11-09 01:27:45,"하루종일 애플뮤직 잡고 삽질했네


3달 무료라길래 눌렀는데 980엔 나갔음 

980엔에 3개월치 이용시켜 준다는 건가? 시발련들이 진짜"
