title,date,content
친구랑 싸운 적 있는데 누구 잘못임?,2021-11-05 16:45:19,"예전에 고딩때부터 친했던 애 만나서 술마시는데 나한테 지 여동생 유치원 졸업했다고 사진보여주더라
갓난애기때 몇번 봤는데 금세 컸길래 장난으로 어른 다 됐네 애 낳아도 되겠다고 했다가 그 안주로 주는 과자 그거 바구니 나한테 던지더라 그냥 술 마시고 한 농담가지고 ㅈㄴ 급발진아님? 내가 진심으로 그런 말 한거 아니라는거 알지않냐
- dc official App"
오늘부터 이헤갤 공식 디시콘은 이겁니다,2021-11-05 16:42:24,"01
23
- 음악은 계속된다."
케이블 에이징 ㅋㅋㅋㅋㅋ,2021-11-05 16:41:06,나는 닥헤 아저씨들 전용 개꿀잼 드립인 줄 알았는데 갤에서도 볼 수 있을 줄은 몰랐노 ㅋㅋㅋㅋㅋ
탈당신청하러 갔다 온다,2021-11-05 16:39:18,"6070세대는 국민의 짐이 맞다 씹틀니새끼들


- 음악은 계속된다."
투표)서울.경기.인천지역중 가장 생소한지역을 고르시오,2021-11-05 16:38:57,
케이블도 에이징 필요하겠지?,2021-11-05 16:36:49,"며칠 그냥 음악 틀어놔야지

니들이어폰보다 비싼케이블이라"
ㅋㅋ 홍 떨어짐?,2021-11-05 16:35:17,
대통령후보 공약은 잘봐라,2021-11-05 16:34:26,"일단 개식용, 출산,육아 언급하는 공약보니까

저놈 생각없이 표팔이하는거 보임

ㅋㅋ




둘다맘에안드는데 1가구 1주택완화는 장기적으로보면 나도좋고 다 좋긴할텐데

이걸 다시보면 이미 돈다 쳐벌은놈들 손 쉽게 털수있도록하는것도있다고봄


근데 그렇다고 안하기도뭐한듯

또 코로나 43조하는데 이건 필요하지만 그 돈을 어디서 가져올지모르겠네 지들돈아니라고 선심쓰듯 하는데 다 국민돈아니냐

정부 지출(여가부의 쓸데없는 200개의 단체 다 세금쓰는데)
줄이든가."
머림머 센세 이어폰 공구하네,2021-11-05 16:33:46,"는 TRN이십니다. MT1 VX VX PRO BA15
건데 곧 광군제인데 공구 살 사람이 있으려나?
아무리 공구가격 싸게해도 광군제보다 싸게하는건 딕헤이도 불가능인데ㅋㅋ"
이번대선 요약 2,2021-11-05 16:33:44,"일단 개식용, 출산,육아 언급하는 공약보니까

저놈 생각없이 표팔이하는거 보임

ㅋㅋ




둘다맘에안드는데 1가구 1주택완화는 장기적으로보면 나도좋고 다 좋긴할텐데

이걸 다시보면 이미 돈다 쳐벌은놈들 손 쉽게 털수있도록하는것도있다고봄


근데 그렇다고 안하기도뭐한듯

또 코로나 43조하는데 이건 필요하지만 그 돈을 어디서 가져올지모르겠네 지들돈아니라고 선심쓰듯 하는데 다 국민돈아니냐

정부 지출(여가부의 쓸데없는 200개의 단체 다 세금쓰는데)
줄이든가."
