title,date,content
버즈2 귓구멍 작아도 괜찮냐 착용감>?,2021-11-07 02:33:31,ㅇ
아 씨발...어제 산건데,2021-11-07 02:30:27,씨발....
이재명이나 윤석열이나,2021-11-07 02:27:28,"비전 꼬라지보면 걍 한국손절에 확신만듬



- dc official App"
근데춥다,2021-11-07 02:26:41,"잠은 안오고  
- dc official App"
씨발,2021-11-07 02:20:59,노래가 아니라 걍 소음덩어리임
이헤갤 탈갤은 지능순.,2021-11-07 02:20:14,"너구리 리턴즈 

ㄷㄷ기"
k702 블프때 할인하나?,2021-11-07 02:20:06,"너구리 리턴즈 

ㄷㄷ기"
N400 펌웨어 4.1.0 뜸,2021-11-07 02:13:58,코노마마데 잇카 난카~ 미라이노 미라이와~
내말이 맞지?,2021-11-07 02:13:34,ㅇ
흐음...kt 모바일 데이터는 음질이 별로네,2021-11-07 02:13:27,씨발....
본인 막귄데 헤드폰 뭐사야됨,2021-11-07 02:11:51,"비전 꼬라지보면 걍 한국손절에 확신만듬



- dc official App"
사실상 결승 (실제로 한 말),2021-11-07 02:10:20,"잠은 안오고  
- dc official App"
이헤갤 고닉 꽤 많이 사라졌네,2021-11-07 02:08:59,"오늘 뭐 한게 읎냐 ㄷㄷ



- dc official App"
막귀특 = 막눈,2021-11-07 02:08:48,"켄시 = iq 0
- 음악은 계속된다."
버즈라이브 8.5 > 7.5 되파는거 어떠냐?,2021-11-07 02:08:16,15만원정도까지 내려가면 사고싶은데 ㅎ
어제도기분잡치고 오늘 새벽부터잡치네,2021-11-07 02:06:44,"할사람 ㄱ
- dc official App"
이 년들아,2021-11-07 02:04:27,됏고 불이나 좀 꺼주라
씹새끼들아,2021-11-07 02:04:13,"lg 텔레콤 유튜브 뮤지 음질 >>> kt 타이달 마스터음질 인것 같군아...

훌륭한 스트리밍 음감을 위해 lg통신사와 lg폰을 써야겠군아..."
개쳐발리네 ㅋㅋ,2021-11-07 02:04:10,"액티브노캔 있고 무선블투 되고 꼈을대 안멍청하게 보이는걸로...

가격은 2~30? "
바이퍼엔딩 edg승다맞췃네,2021-11-07 02:03:05,"사실상 준우승 (실제로 한 말)

어매뒤진 개 좆 슼 갈"
내말이맞네 역시 edg,2021-11-07 02:02:45,"탈갤은 지능순이라 그런가 지금까지 남아있는 놈들은..

음 ㅋㅋ 판단은 알아서"
캐니언이 에이슨데 트런들을시키내진짜 ㅋㅋ,2021-11-07 01:59:24,"ㅋㅋ
- dc official App"
패브릭 슬리브? 피복? 어디서 구매함?,2021-11-07 01:59:00,"버즈라이브 8.5 > 7.5 되파는거 어떠냐?

사용기간은 한 일주일썻나

재포장해놨음 "
이거 가격 차이 왤케남?,2021-11-07 01:54:22,"불끈다
- dc official App"
대가리크면 골전도이어폰도 작냐?????????,2021-11-07 01:53:45,"ㅈㅅ
- dc official App"
감독이사표써야함 캐니언 트런들 쇼메 신드라뽑아서 짐,2021-11-07 01:53:13,"ㅈㅅ
- dc official App"
이거 무효야 ㅋㅋ,2021-11-07 01:52:59,"짜장좋아해??


ㅋㅋ








- dc official App"
그만하자노...,2021-11-07 01:51:44,"역시사람은 근거를가지고 냉철한팜단을해야함
- dc official App"
말했지 바이퍼엔징 그래도 바론 신선햇다 동화잘햇고,2021-11-07 01:51:01,"우승ㅇㅇ
- dc official App"
와 씨발,2021-11-07 01:49:50,"탈갤은 지능순이라 그런가 지금까지 남아있는 놈들은..

음 ㅋㅋ 판단은 알아서"
ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 2인바론,2021-11-07 01:49:30,"ㅋㅋ
- dc official App"
어느 갤러리를 가도 다 롤드컵 이야기 뿐이야..,2021-11-07 01:48:36,"ㅋㅋ
- dc official App"
레오나가 잘물어도 킬로안이어지는거봐라,2021-11-07 01:46:51,"버즈라이브 8.5 > 7.5 되파는거 어떠냐?

사용기간은 한 일주일썻나

재포장해놨음 "
(진지) 오늘 점심.jpg,2021-11-07 01:46:30,"불끈다
- dc official App"
