,tit,body,comment,time,keyword
0,스피커선 질문,스피커 선을 샀는데...,"[['상관 없을듯 합니다~^^'], ['상관은 없는데 보통 글씨 있거나 붉은색이 +로 연결들 합니다.\n\n저도 35년째 그리 쓴듯 합니다.'], ['네 붉은쪽이 글씨도있고 해서 그렇게 연결 중입니다.']]",2021.01.19. 22:16,스피커
1,스피커 앰프 조합 질문드립니다!!,3300x5000 방에서 사용할스피커 조합 질문드립니다1. 텔로스7 + 디아블로 유토피아 에보2. 텔로스7 + 소프라23. 네임 유니티 노바 + 디아블로 유토피아 에보4. 네임 유니티 노바 + 소프라2​음악감상 + 영화감상 두가지 용도입니다LP나 CD 전혀 사용하지 않고 아마도 파일 usb또는 스트리밍으로 듣지 않을까 합니다 영화는 시네빔(빔프로젝터) 연결 예정입니다편의성에서 네임이 좀 더 땡기는데 4개 조합중에 뭐가 제일 나을까요??,"[['저는 4번추천합니다..^^ 소스를 파일로 사용하신다니..^^'], ['감사합니다 방에서 사용하는 경우 유토피아에보가 더 낫다고 하는경우도 있던데 어떻게 생각하시나요?ㅋ 그래도 톨보이는 톨보이일까요 ㅋㅋ'], ['유니티노바로는 소프라1도 구동안됩니다.'], ['그런가요?ㅠ 샵에서도 유니티를 추천해주셨는데 어려울까요?ㅠ'], ['예전에 하남스타필드에서 소프라2와 노바 조합을 봤었는데 안되는건가요?'], ['제이름누르시고 게시글보기 눌러보세요~\n\n샵에서는 구동이되든말든 마진좋은거 팔면 그만이에요~'], ['그럼 저같은 환경에서 추천해주실만한 조합이 있을까요?ㅠ 노바 계속 보고있었는데 절망이네요ㅠ'], ['매칭동영상들 찬찬히 들어보세요\n\n대부분의 스피커 매칭동영상 다있습니다.\n\n소프라1, 2, 3, 디아블로....스칼라까지 다있을겁니다.'], ['물어보신거 아니에요?텔로스7이 훨씬 낫다고요'], ['네 그렇군요 감사합니다 그럼 네트워크플레이어를 추가해야할텐데 추천해주실만한것이 있을까요?'], ['네트워크플레이어는 오렌더n100h가 있잖아요'], ['네 저가 정말 잘 모릅니다ㅠ 예전에 하남에서 노바랑 소프라2 듣고 이런거도 있구나 싶었거든요 지금도 사실 잘 모르고 구매하고싶어하네요ㅠ'], ['잘모르시면 입문기부터 찬찬히 경험해보세요\n\nm6si 인티앰프 중고로 구해서 시작해보세요\n\n그다음은 pm10 그이후엔 저절로 기준이 생길겁니다.'], ['그렇군요ㅠ와이프님이 중복투자를 너무 싫어해서 허락했을때 한방에 가보려구요'], ['그래도 게시판답변만으로 선택하시면 99프로 실패해요비청영상쪽 활동하시는분들께 부탁해서 발품팔아가면서 청음많이 하신후 결정하세요~오디오는 하나부터 열까지 자기노력으로 하는겁니다.돈으로는 아무리 발라도 안돼요~'], ['넵 말씀하신부분 잘 알겠습니다^^ 조언 감사드립니다!!'], ['제가 소프라1 갔던 이유가 예전에 x2t 사용하니 아파트라 저음에 의한 진동 때문에 겁나서 북쉘프로 갔던건데결국은 소프라2로 이번달에 기변했네요.델라카사님 유튜브 보시면 텔로스 590에 소프라2 물려서 올려놓은 게시물이 있습니다.https://www.youtube.com/watch?v=hKkkHw6k5KM&list=PL8sklxGNIz_3UeyHQS8ZaffwYBvQ8Kq0e소프라2에 텔로스7은 워낙 유명한 조합이라;;'], ['소프라2 텔로스7 네트워크플레이어 이렇게 가야겠네요 예산이 점점 ㅠㅋㅋㅋ'], ['스피커 대비 성능때문에 유니티노바는 비추 중 하나이고, 인천 갈비탕집에 가서 직접 들어보고 결정하는 것이 안전합니다.유니티노바 가격이면 훨씬 좋은 앰프와 DAC을 선택할 수 있습니다.'], ['추천해주실만한것이 있을까요? 갈비집에는 유니티노바는 없나보더라구요'], ['스피커에 텔로스는 직접 확인할 수 있죠'], ['텔로스590은 너무 오바일거같고 그럼 텔로스7도 괜찮을까요? 소프라2 또는 디아블로 에보가요\n소프라2 추천해주시는분들도 있고 에보 추천해주시는 분들도 있네요']]",2021.01.19. 22:12,스피커
2,옵티컬 케이블 노트북 연결 질문드립니다... !,안녕하세요. 선배님들 !​이십 년전 중학생 시절 이후로 최근 다시 오디오 디바이스에 푹 빠져 이것저것 사들이고 있는 오디오 신생아입니다. ​가입 후 첫 글이 질문 글이 되어 매우 유감일 뿐입니다... 더군다나 너무 기본적이고 무지한 질문 글이라 부끄럽네요.​본업 특성상 주로 노트북 앞에서 반나절을 보내다보니 주로 맥북을 이용하여 음악감상을 하고 있습니다. ​소소하게 북쉘프 스피커를 하나 구입하게 되었고 RCA로 연결해서 사용하던 중 웬일인지 욕심이 생겼습니다. ​워낙 구형 디바이스인지라(2015mid 맥프레)  광출력을 지원하는 마지막 맥북이라는 얘기를 얼핏 들은 게 생각난 것이지요...(이곳저곳을 찾아보니 '광출력 지원'이라고 기재돼 있었습니다.)​여기서 의문은... 맥북 기본으로 탑재된 3.5mm 스트레오 단자가 광출력을 지원한다는 건 엠프에나 dac없이 맥북에 다이렉트로 연결이 ​가능하다는 것일까요?​3.5단자에 맞는 각대원 옵티컬 케이블로 구매를 해야 하는 것인지... 그렇다고 찾아보면 3.5파이인 옵티컬 케이블은 따로 팔지 않는 것 같더라구요. ​질문이 길어졌습니다. 선배님들 ​-> 광출력을 지원하는 맥프레 3.5mm 스트레오 단자에 맞는 옵티컬 케이블이 따로 있는 것인가요? ​긴 글 읽어주셔서 감사합니다 :) 좋은 저녁 보내세요.,"[['일반 각대원 광케이블이면 됩니다. ^^ 원쪽을 3.5mm 스테레오 단자 쪽에 연결하시고 각쪽을 앰프에 연결하시면 됩니다. 다만 더 좋은 소리를 듣기 위해서는 별도의 DAC이 더 낫기는 합니다.'], ['댓글 감사합니다!... 혹시 하나만 더 여쭤봐도 괜찮을까요? 각대원 광케이블을 검색해보면 2파이 5파이 6파이 등... 다양하게 있던데 3.5 파이는 없더라구요... 어떤 걸 구매하면 되는 걸까요...?'], ['말씀하시는 파이는 광케이블의 두께를 이야기 하는 것임으로 원플러그 (미니 Toslink)와는 상관이 없습니다. ^^ 미니 Toslink자체가 3.5mm라고 보시면됩니다.'], ['케이블의 두께였군요 ! ㅠ... 하루종일 고민했던 걸 시원하게... 친절한 답변 너무 감사합니다....! 편안한 밤 되십쇼!'], ['천만의 말씀을요. 좋은 밤 되세요. ^^'], ['저는 정말 몰라서 질문 드려요!\n맥에서 3.5 옵티컬로 출력해서 들을때 프로그램은 어떤걸로 들으면 되나요? ㅠㅠ']]",2021.01.19. 20:26,스피커
3,조카가 스피커를 눌러서 들어갔어요....,​어떻게 해야 원상복구가 될까요. .. . 방법 좀 얼려주세요 ㅠ ㅠ 똥손이라 원상복구 안되면 지역이 대전인데 이거 고치겠다고 택배로 에이원에 보내기가 더 번거로울꺼 같아서 알려주신데로 안되면  as 부탁할 만한곳이 있을까요?,"[['https://cafe.naver.com/audiodudu/272865 참고하세요.'], ['아 ....요거 신박 하네요 ㅎㅎㅎㅎ'], ['감사합니다!!'], ['네 우퍼배꼽 옴폭 들어간 거랑 지름을 맞추시면 아주 잘됩니다. ! 성공하시길요! 입으로 빨아도 될듯 합니다ㅜㅜ'], ['방금 입으로했다가 안닿아서 현타왔어요 . ..저희집 청소기가 앞부분이 분리가 안되서  저렇게 주둥이 만들어서 입으로 당겨볼까 생각 중입니다'], ['댓글들이..ㅋㅋㅋㅋ'], ['야합니다~'], ['흑흑 그런데 안되네요 ㅠ ㅠ 진공청소기를 빌려야겠어요 ㅠ ㅠ'], ['아 댓글들이 좀 ㅋㅋㅋ ㅎㅎ'], ['세상엔 천재가 많군요'], ['그러게요 저도 예전에 배운 방법입니다. ㅎㅎ'], ['간단합니다.\n입 크게 벌리셔서 머금고 빨아 들이면 됩니다.\n농담 아니고, 진짜입니다!'], ['이 방법은 안될꺼 같아요 ㅋㅋㅋ\n입이 저부분꺼지 가질 않아요\n 웃프네요 . . .'], ['보기보다 큰가 보네요 ㅎㅎ'], ['아뇨 스피커 구조가 살짝 들어가있어서 \n제 입이 저기까지 안닿아요'], ['ㅎㅎㅎㅎㅎ\n굳이 용은 쓰지 마십시오!'], ['조카를 보내고 바보처럼 스피커랑 뽀뽀중입니다 ㅋㅋ'], ['조카 그 녀석도 참 ㅠㅠ'], ['방문관리못한 고모가 잘못이죠  ㅠㅠ'], ['영면 테입을 붙여서 살살 당겨보시면 되지 않을까요?'], ['일단 이거부터 해봐야겠어요! 감사합니다'], ['테이프로 당겨보시고그래도 안되면 청소기로 약하게빨라 올려보세요'], ['저긴 더스트캡이라 소리에 지장이 없으니 다행 입니다 ^^'], ['그런가요? 그럼 진짜 다행이에요 . . .오린이에 기계치라 뭐 하나만 이상해도 고치질 못합니다'], ['진공청소기로 빨아들이시면 됩니다.'], ['진공청소기로 살짝 해보니\n원상복구된적 있습니다.'], ['아이고. ㅠㅜ저였으면 고함 치면서 조카 머리통 서너대 일단 날렸을 거예요 ㅜㅠ  그 조카 괜찮죠? ㅋㅋㅋ 잘 해결하셨음 좋겠습니다'], ['만으로 두살도 안된녀석을 어떻게 때려요  ㅋㅋㅋ 말도 안통해요 ㅋㅋㅋ'], ['조카가 또 올텐데....\n오기 전에 꼭 스피커를 뒤로 180도 돌려 놓으세요. ^^'], ['양면 테이프로..약하게시작하여..조금식 강하게 하시고붙이는 면적을 적게부터 시작하여..조금식 넓게 붙여서 하면 됩니다..진공청소기는 공기압 조절이 힘들어..잘못하면..찒어질수도 있습니다..양면테이프로 어는 정도 원상복구되어..원형을 유지한 형태로 돌아온 상태에서는일부주름이 있어도..스피커를 2-3일 정도 사용하면..면이 원상태로 펴지는 확률이 높습니다..'], ['진공청소기로 제일 약하게 해서 빨면  원복이 됩니다.'], ['아.....가슴이 아프군요...ㅠㅠ']]",2021.01.19. 20:10,스피커
4,모니터링용으로 패시브 스피커? 100전후로 앰프 매칭 등 궁금합니다. (PMC TB2s+),"안녕하세요~! ​작업용, 모니터링용 액티브 스피커에 대해서만 서칭하다​문득 전문 선배님들이 많이 계신 곳에 여쭙고 배우고자 찾게 되었습니다!​​​이번에 새해(+아홉수...ㅠ)를 맞아 잘 쓰고 있던 PMC의 Result6 가 고장나서 수리를 맡기게 되었습니다!​한참 걸린다기에 다른 스피커를 알아보는 중에 문득 PMC 사의 TB2s+ 가 보여서요!​문제는 패시브라 앰프 매칭을 해서 써야하는데.. 너무 새로운 곳에 발을 들이는 느낌이라...ㅎㅎ 겁나네요​작곡을 하면서 믹싱, 마스터링까지 하게 되니 아무래도 모니터링용으로서 전대역 고른 응답과​높은 해상도의 사운드를 필요로 하는데 앰프에 따라 소리가 천자만별이라니 막막하더라구요...ㅠㅠ​룸어쿠스틱은 이전 Resul6를 쓸때도 측정시에 몇몇 사소한 딥과 부스트 말고는 고르게 나와주던 환경입니다! (소나웍스를 사용중인데, 믹스때 아니면 끄고 쓸 정도로 룸을 얼추 잡아놓은 상태입니다!)​​​두서가 길었지만 중점적으로 궁금한 점은...​우선적으로 다른 액티브 스피커를 구하는 것보다 PMC TB2s+에 괜찮은 앰프를 물리는게 더 좋은 선택인지...(Focal Solo 6be, Eve SC307 등 알아보고 있었습니다...ㅎㅎ)​그리고 만약 그렇다면 약 100 전후로 좋은 앰프와 구동을 하고 싶은데 제 성향에서는 어떤 앰프 및 브랜드가 좋을지요!(중고로 더 윗급 노리는 것도 좋아합니다!)​​여담으로 스튜디오에서 들었던 대형 PMC 스피커를 듣고 동경하게 되어서 Result6 잘 쓰고 있었는데..​특유의 저음이 아직도 적응 안되네요..ㅎㅎ 정확한데 힘이 없는...?​붓터치가 섬세하게 묘사된 그림이라기 보다 고해상도 프린트로 뽑은 그림 같은 느낌이 들었습니다..​이게 모니터링에 좋은건지.. 덕에 결과물은 저음쪽 어택이 더 사는 쪽으로 가게되더라구요...@@​​많은 조언 부탁드립니다!!","[['안녕하세요, 앰프와 패시브 매칭은 너무 변수가 많습니다.  아시겠지만 프로 오디오쪽은 개인의 취향보다는 다수에게 선호되는 제품에 귀를 적응하시는게 안전할 것 같습니다. result6에 적응되셨다면 최대한 들어보시고 구입하세요. 액티브가 그런 면에서는 접근이 수월할 것 같습니다.'], ['스피커는 어떻게 들어보거나 예전 경험을 살리더라도 앰프는 도저히 감이 안오더라구요..@@ 결국 사용 리뷰들 참고해가며 범위를 줄여가는 수밖에 없는거려나요~? ㅠ'], ['그러게요, 하이파이 쪽은 너무 범위가 넓어서 일일히 다 들어볼수도 없는 노릇이구요. 다만 프로쪽은 몇몇 검증된 조합이 있으니까요 정 패시브를 쓰시겠다면 리뷰들 참고하시는 것도 좋을 것 같아요. 근데 들어보는 것만은 못하더라구요.'], ['역시 어려운 세계군요...ㅠㅠ 잘 알아보고 발을 딛여야겠습니다...ㅎㅎ 감사합니다~!']]",2021.01.19. 19:15,스피커
5,오디오에 대해 정말 아무것도 모르는 사람 입니다. 도움 부탁 드립니다.,"반갑습니다.41살 김해에 오디오에 관심을 가져 보려는 초보 입니다.​결혼 후 친구들과의 술자리 보다는 혼술이 좋고클래식이나 경음악 보다는 어릴때 듣던 발라드는 좋아 합니다.유튜브 및 영화 감상, 게임(스타크레프트), 발라드에 적합한100만원대 스피커 추천 부탁 드립니다.​컴퓨터 방 에서 사용을 하려다 보니 부피가 큰 제품은 불가능 합니다.아날로그적인 인간이라 충전식 보다는 파워코드가 있는것을 선호하며음질이 다소 떨어지더라도 블루투스가 되었으면 합니다.이사 시 거실을 새로 꾸미지 않는한 추가 오디오 구매는 없을 듯 합니다.​저에게 맞는 오디오가 있을까요?추천 부탁 드립니다.","[['액티브 스피커를찿으시나요?'], ['LG오브제 스피커 처럼 하나의 제품으로 이루워 진게 올인원인 줄 알았습니다.이렇게나 무지 합니다.검색해 보니 오브제스피커가 액티브스피커 인듯 합니다.'], ['엠프가 필요한스픽은 패시브라하고엠프가 필요없는스픽은 액티브라합니다'], ['다시 한번 찾아 보겠습니다.'], ['부드러운음색을 찿으시는지 아니면 반대의성향쿨앤클리어를 찿으시는지 원하시는 음색과 가격에맟추어서 천천히 알아보고 찿으시죠'], ['성향상 부드러운걸 좋아하고\n추천 주신걸 확인하고 있습니다'], ['액티브 스피커를 안써봤지만,클립쉬 블루투스 액티브 스피커가 예산안에 들어오느것 같습니다. 좀 추가하셔서 다인오디오 xeo10도 괜찮을것 같긴합니다(중고면 예산안에 들어올것 같네요)다인은 샵에서 들어 봤는데 소리 좋더라구요...즐 검색 하세요~~~'], ['감사합니다.확인 하겠습니다.'], ['탄노이 레볼루션 XT6 추천드립니다. \n\n업력 95년 회사의 듀얼 콘센트릭의 세계로 한 번 빠져~봅시다. \n\n그리고 음악 듣다 보면 클래식과 재즈로 넘어오게 설계된 게 오디오 인생이 아닐까 생각할 때가 종종 있습니다.  진정한 어쿠스틱의 세계죠.\n\n'], ['감사합니다 \n검색하겠습니다']]",2021.01.19. 18:45,스피커
6,USB로 꽂아서 24bit flac파일 이나 DSD파일을 들을 수 있는 CDP 추천부탁드립니다.,"안녕하십니까. 오디오 고수 선배님들.​오디오 초보라서 질문이 두서없을 지 모르겠네요.​제목대로 고음질 음원 (24bit flac, DSD)을 USB에 담아서 스마트폰 어플이 아닌 오디오로 듣고 싶습니다. ​마침 CDP를 새로 구매할 일이 생겨서, USB 포트가 있는 CDP를 구매할려고 합니다. (기존 CDP도 USB포트가 있지만 flac이나 DSD파일은 재생이 안되며, wav, mp3파일 만 재생되고, 그것조차도 16bit 만 재생되더군요)​인터넷에 검색해보니 DAC, CDT 이런 설명이 있던데 제가 초보라 더 헷갈리기만 합니다.​제목대로 제대로 된 CDP하나로 고음질 파일을 듣는 방법은 있을까요?  많은 답변부탁드립니다.​제 오디오 환경은 다음과 같습니다.​- 앰프 : 야마하 RX - V550 (2005년 구입/홈시어터 용)- 스피커 : 골드문트 GM-100 (2005년 구입)- CDP : JVC XV-EXA15 (2010년 구입/ JVC EX-EXA15 앰프와 조합으로 한때 JVC 우드콘 콤포넌트로 인기끌었으나, 아들 중학교 입학선물로 줄 예정)​※ 고음질음원은 24bit Flac파일은 358.4k, DSD 파일은 DSD128까지 보유하고 있습니다. ​- 추가질문 - ​1. CDP에 따라서도 CD음질이 차이가 날까요? (차이가 있다는 분도 있고, CDP는 CD의 신호만 읽어주는 장치이므로 아무런 차이가 없다는 분도 계시네요)​2. 보통 DSD파일을 오디오로 들을 때, 확장자를 dsf파일/dff파일 중 어떤 형태로 USB에 담아야 하나요?​고수 선배님들 많이 도와주세요. 제가 너무 초보라 어떤 정보도 저에게는 유익합니다.​감사합니다","[['cdp가 dac니까 제일음질차이크죠\n\ncdp dac안쓰고 컴터odd처럼 디지털출력뽑아쓰면 차이없고요'], ['24빗플랙플레이 지원하고 dac겁나쩌는 에소테릭쪽 보시면될듯합니다'], ['마란츠나 데논 CDP 들이 USB 메모리에 flac 24bit 나 DSD 파일 재생 가능합니다.https://smartstore.naver.com/dangolav/products/5152176043?NaPm=ct%3Dkk3s9qrc%7Cci%3D7f634715d521c7867654bb0ed81f824b414dd004%7Ctr%3Dsls%7Csn%3D692894%7Chk%3D8cbbe88d4b450ab93bbc8ebd30937808b20c13df']]",2021.01.19. 17:58,스피커
7,오디오 연결,"제가 인티앰프 마란츠 m-cr610에서 cd 나, 인터넷 라디오를 xeo4 컨넥트로 연결해서xeo4 액티브 스피커로 듣고 싶어서 문의 드립니다.인티앰프 (오디오 아웃)에서 다인오디오 (컨넥터 인 단자)로 연결을 해서 들을수 있는지 궁금합니다.누구 얘기로는 인티앰프가 증폭해서 나가기 때문에 안된다고 하고 또 어떤 분은 괜찮다고 합니다.도움좀 주세요","[['가능할것 같습니다..^^'], ['아네__감사합니다.']]",2021.01.19. 16:54,스피커
8,80w rms 6옴 패시브스피커에 맞는 앰프추천부탁드립니다.,패시브 보스스피커가 집에 놀고 있습니다. 원래 하이파이용으로 나온 모델로 알고있는데 전 그냥 4개에 우퍼달고 av로 사용하긴했습니다 ㅎㅎ..이것을 2개 혹은 4개로 구동할수있는 앰프는 어떤게 있을지요? 책상에놓고쓸거라 작을수록 좋습니다^^ ​책상파이로 게임 음악감상 두가지를 욕심낼수 있을까요? 아니면 완전한세트를 사야할까요? 좋은앰프하나들여보고 나중에 스피커만바꾸는것도 좋을까요? ​정확한 내용은 ​power handling : 80w rms iec 268-5nominal impdence : 6옴​이렇게되어있습니다 왕초보이니 기초적인거라도 많이 알려주세요 ^^​,[['메이커는 보스입니다. ^^;;ad18 도 괜찮은가요? 좀 파워풀하고 꽉찬 소리로 들었으면 합니다.']],2021.01.19. 16:39,스피커
9,"zen dac, can을 쓰고있는데 질문드려요(rca단자)","안녕하세요​제가 지식이 없어 문의드립니다블루투스 스피커 동일제품 2개가 있고zen dac, can 을 중고로 구매해 사용하고있습니다can 뒤에 출력 rca 단자가 있는데​스피커1 aux - rca적색스피커2 aux - rca흰색​으로 연결하여 스테레오로 듣는게 가능할까요?","[['스테레오까지는 모르겠지만 젠캔은 4.4단자출력뿐이이라 4.4to rca케이블쓰셔야 출력되는걸로 알고있어요 저도 둘다 가지고 았는데 초보라 잘모르겠네요'], ['네 감사합니다ㅠㅠ']]",2021.01.19. 16:17,스피커
